-3,-1.345,0,-0.07854,14.103
-3,-1.3451,-1.22E-21,-0.07854,14.101
-3,-1.3451,-8.18E-21,-0.07854,14.099
-3,-1.3451,-1.71E-20,-0.07854,14.097
-3,-1.3452,-2.46E-20,-0.07854,14.095
-3,-1.3452,-2.97E-20,-0.07854,14.093
-3,-1.3452,-3.16E-20,-0.07854,14.091
-3,-1.3453,-3.42E-20,-0.07854,14.089
-3,-1.3453,-3.61E-20,-0.07854,14.087
-3,-1.3453,-3.75E-20,-0.07854,14.085
-3,-1.3454,-3.89E-20,-0.07854,14.083
-3,-1.3454,-4.00E-20,-0.07854,14.081
-3,-1.3454,-4.10E-20,-0.07854,14.079
-3,-1.3455,-4.22E-20,-0.07854,14.078
-3,-1.3455,-4.45E-20,-0.07854,14.076
-3,-1.3455,-4.76E-20,-0.07854,14.074
-3,-1.3455,-5.06E-20,-0.07854,14.072
-3,-1.3456,-5.44E-20,-0.07854,14.07
-3,-1.3456,-5.78E-20,-0.07854,14.068
-3,-1.3456,-6.16E-20,-0.07854,14.066
-3,-1.3457,-6.52E-20,-0.07854,14.064
-3,-1.3457,-6.89E-20,-0.07854,14.062
-3,-1.3457,-7.25E-20,-0.07854,14.06
-3,-1.3458,-7.61E-20,-0.07854,14.058
-3,-1.3458,-8.02E-20,-0.07854,14.056
-3,-1.3458,-8.51E-20,-0.07854,14.054
-3,-1.3459,-8.90E-20,-0.07854,14.052
-3,-1.3459,-9.37E-20,-0.07854,14.05
-3,-1.3459,-9.82E-20,-0.07854,14.048
-3,-1.346,-1.02E-19,-0.07854,14.047
-3,-1.346,-1.06E-19,-0.07854,14.045
-3,-1.346,-1.07E-19,-0.07854,14.043
-3,-1.3461,-1.10E-19,-0.07854,14.041
-3,-1.3461,-1.11E-19,-0.07854,14.039
-3,-1.3461,-1.13E-19,-0.07854,14.037
-3,-1.3461,-1.16E-19,-0.07854,14.035
-3,-1.3462,-1.21E-19,-0.07854,14.033
-3,-1.3462,-1.25E-19,-0.07854,14.031
